BMS老化测试详细判定报表

基本信息
通道号,4
货架号,01-A04
主机条码,4
从机1条码,44
从机2条码,444
从机3条码,4444
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 14:42:57
测试结束时间,2026-05-24 14:43:47
测试总判定,STOPPED

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.45,2026-05-24 14:43:05
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.17,2026-05-24 14:43:11
供电DCDC+电压测试,NULL,11.0,13.0,12.058,PASS,0.75,2026-05-24 14:43:12
供电P+电压测试,NULL,11.0,13.0,12.079,PASS,0.06,2026-05-24 14:43:12
CAN2通讯测试,NULL,OK,--,OK,PASS,1.11,2026-05-24 14:43:13
CAN4通讯测试,NULL,OK,--,OK,PASS,1.11,2026-05-24 14:43:14
CAN1通讯测试,NULL,OK,--,OK,PASS,1.05,2026-05-24 14:43:15
KL15唤醒源识别,NULL,11.0,13.0,12.208,PASS,0.82,2026-05-24 14:43:16
HALL 5V供电回采电压,NULL,4.95,5.05,4.996,PASS,0.06,2026-05-24 14:43:16
SIG1脉冲阻抗,Ω,45000.0,55000.0,47353.0,PASS,2.05,2026-05-24 14:43:18
SIG3脉冲阻抗,Ω,90000.0,110000.0,95993.0,PASS,2.05,2026-05-24 14:43:20
HVIL1-IN功能采集,V,9.0,11.0,9.652,PASS,5.01,2026-05-24 14:43:25
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-24 14:43:25
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 14:43:25
HVIL1-OUT功能采集,V,9.0,11.0,9.468,PASS,5.07,2026-05-24 14:43:31
HVIL2-IN功能采集,V,9.0,11.0,9.639,PASS,5.03,2026-05-24 14:43:36
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:43:36
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:43:36
HVIL2-OUT功能采集,V,9.0,11.0,9.441,PASS,5.02,2026-05-24 14:43:41
HVIL3-IN功能采集,V,9.0,11.0,9.632,PASS,5.02,2026-05-24 14:43:46
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 14:43:46
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:43:46
