BMS老化测试详细判定报表

基本信息
通道号,4
货架号,01-A04
主机条码,4
从机1条码,44
从机2条码,444
从机3条码,4444
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 15:13:14
测试结束时间,2026-05-24 15:14:23
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.72,2026-05-24 15:13:26
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.18,2026-05-24 15:13:32
供电DCDC+电压测试,NULL,11.0,13.0,12.065,PASS,1.78,2026-05-24 15:13:34
供电P+电压测试,NULL,11.0,13.0,12.079,PASS,0.19,2026-05-24 15:13:34
CAN2通讯测试,NULL,OK,--,OK,PASS,1.07,2026-05-24 15:13:35
CAN4通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-24 15:13:36
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 15:13:37
KL15唤醒源识别,NULL,11.0,13.0,12.208,PASS,0.04,2026-05-24 15:13:37
HALL 5V供电回采电压,NULL,4.95,5.05,4.998,PASS,0.05,2026-05-24 15:13:37
SIG1脉冲阻抗,Ω,45000.0,55000.0,49534.0,PASS,2.04,2026-05-24 15:13:40
SIG3脉冲阻抗,Ω,90000.0,110000.0,94661.0,PASS,2.07,2026-05-24 15:13:42
HVIL1-IN功能采集,V,9.0,11.0,9.646,PASS,5.04,2026-05-24 15:13:47
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:13:47
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:13:47
HVIL1-OUT功能采集,V,9.0,11.0,9.474,PASS,5.03,2026-05-24 15:13:52
HVIL2-IN功能采集,V,9.0,11.0,9.639,PASS,5.06,2026-05-24 15:13:57
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:13:57
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:13:57
HVIL2-OUT功能采集,V,9.0,11.0,9.448,PASS,5.02,2026-05-24 15:14:02
HVIL3-IN功能采集,V,9.0,11.0,9.632,PASS,5.01,2026-05-24 15:14:07
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.11,2026-05-24 15:14:07
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:14:07
HVIL3-OUT功能采集,V,9.0,11.0,9.646,PASS,5.09,2026-05-24 15:14:12
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.63,2026-05-24 15:14:14
GB_2015+CC1有效测试,V,3.9,4.1,4.083,PASS,0.59,2026-05-24 15:14:15
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.207,PASS,1.15,2026-05-24 15:14:16
Chaoji_CC2无效测试,V,1.0,1.5,1.357,PASS,2.07,2026-05-24 15:14:18
Chaoji_CC2有效测试,V,0.5,0.8,0.663,PASS,1.05,2026-05-24 15:14:19
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,2.33,2026-05-24 15:14:21
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.72,2026-05-24 15:14:23
环境温度测试,℃,0.0,85.0,-7.0,NG,0.14,2026-05-24 15:14:23
