BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,234567
从机1条码,234567
从机2条码,45678
从机3条码,4356789
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 13:56:22
测试结束时间,2026-05-24 14:01:58
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.55,2026-05-24 13:56:34
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.42,2026-05-24 13:56:40
供电DCDC+电压测试,NULL,11.0,13.0,11.984,PASS,1.79,2026-05-24 13:56:42
供电P+电压测试,NULL,11.0,13.0,12.011,PASS,0.05,2026-05-24 13:56:42
CAN2通讯测试,NULL,OK,--,OK,PASS,1.09,2026-05-24 13:56:43
CAN4通讯测试,NULL,OK,--,OK,PASS,1.01,2026-05-24 13:56:44
CAN1通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-24 13:56:45
KL15唤醒源识别,NULL,11.0,13.0,12.114,PASS,0.05,2026-05-24 13:56:45
HALL 5V供电回采电压,NULL,4.95,5.05,4.996,PASS,0.06,2026-05-24 13:56:45
SIG1脉冲阻抗,Ω,45000.0,55000.0,51664.0,PASS,2.08,2026-05-24 13:56:51
SIG3脉冲阻抗,Ω,90000.0,110000.0,92151.0,PASS,2.07,2026-05-24 13:56:53
HVIL1-IN功能采集,V,9.0,11.0,9.586,PASS,5.05,2026-05-24 13:56:58
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-24 13:56:58
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 13:56:59
HVIL1-OUT功能采集,V,9.0,11.0,9.428,PASS,5.02,2026-05-24 13:57:04
HVIL2-IN功能采集,V,9.0,11.0,9.58,PASS,5.01,2026-05-24 13:57:09
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:57:09
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 13:57:09
HVIL2-OUT功能采集,V,9.0,11.0,9.382,PASS,5.07,2026-05-24 13:57:14
HVIL3-IN功能采集,V,9.0,11.0,9.599,PASS,5.06,2026-05-24 13:57:19
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:57:19
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.04,2026-05-24 13:57:19
HVIL3-OUT功能采集,V,9.0,11.0,9.567,PASS,5.05,2026-05-24 13:57:24
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,2.33,2026-05-24 13:57:26
GB_2015+CC1有效测试,V,3.9,4.1,4.024,PASS,0.55,2026-05-24 13:57:27
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.058,PASS,1.18,2026-05-24 13:57:28
Chaoji_CC2无效测试,V,1.0,1.5,1.366,PASS,2.06,2026-05-24 13:57:30
Chaoji_CC2有效测试,V,0.5,0.8,0.654,PASS,1.06,2026-05-24 13:57:31
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.12,2026-05-24 13:57:32
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.70,2026-05-24 13:57:34
环境温度测试,℃,0.0,85.0,27.6,PASS,0.01,2026-05-24 13:57:34
NTC1,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 13:57:34
NTC2,℃,-45.0,90.0,26.0,PASS,0.08,2026-05-24 13:57:34
NTC3,℃,-45.0,90.0,26.0,PASS,0.08,2026-05-24 13:57:34
NTC4,℃,-45.0,90.0,27.0,PASS,0.06,2026-05-24 13:57:34
HSD_OUTPUT1（LL）,V,2.6,3.0,2.945,PASS,1.48,2026-05-24 13:57:36
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.51,2026-05-24 13:57:37
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.08,2026-05-24 13:57:37
HSD_OUTPUT1（HH）,V,11.0,13.0,11.063,PASS,1.48,2026-05-24 13:57:39
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.789,PASS,1.16,2026-05-24 13:57:40
HSD_OUTPUT2（LL）,V,2.6,3.0,2.945,PASS,1.46,2026-05-24 13:57:42
HSD_OUTPUT2（LH）,V,0.0,0.3,0.0,PASS,2.74,2026-05-24 13:57:44
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 13:57:44
HSD_OUTPUT2（HH）,V,11.0,13.0,11.47,PASS,1.55,2026-05-24 13:57:46
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.433,PASS,1.19,2026-05-24 13:57:47
HSD_OUTPUT3（LL）,V,2.6,3.0,2.945,PASS,0.97,2026-05-24 13:57:48
HSD_OUTPUT3（LH）,V,0.0,0.3,0.006,PASS,1.48,2026-05-24 13:57:50
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-24 13:57:50
HSD_OUTPUT3（HH）,V,11.0,13.0,11.057,PASS,2.69,2026-05-24 13:57:52
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.796,PASS,0.45,2026-05-24 13:57:53
HSD_OUTPUT4（LL）,V,2.6,3.0,2.952,PASS,0.99,2026-05-24 13:57:54
HSD_OUTPUT4（LH）,V,0.0,0.3,0.006,PASS,1.11,2026-05-24 13:57:55
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.003,PASS,0.05,2026-05-24 13:57:55
HSD_OUTPUT4（HH）,V,11.0,13.0,11.503,PASS,1.45,2026-05-24 13:57:56
